idea-00aa0572-genre-aware-genome-template-ga.md|functionality|feature_scout|E5|I6|Genre-aware genome template gallery
idea-01131c98-dramatic-tension-curve-model-f.md|ui|moonshot_architect|E5|I7|Dramatic tension curve: model fight feel, not just balance
idea-02b5d775-automated-translation-qa-valid.md|functionality|feature_scout|E5|I7|Automated translation QA validator
idea-03d86fb4-visual-asset-browser-for-polyh.md|functionality|feature_scout|E5|I8|Visual asset browser for PolyHaven + Sketchfab
idea-040bfd8b-local-asset-library-with-colle.md|functionality|feature_scout|E6|I7|Local Asset Library with collections & favorites
idea-043728da-structured-cook-log-viewer-wit.md|ui|ui_perfectionist|E5|I8|Structured cook-log viewer with severity + jump-to-error
idea-0451aa51-ai-that-actually-plays-your-ga.md|functionality|moonshot_architect|E9|I10|AI that actually plays your game (Gauntlet+Vision)
idea-04a08364-visual-prompt-builder-with-sty.md|user_benefit|feature_scout|E5|I8|Visual prompt builder with style chips & no-jargon presets
idea-0545ec6c-ai-auto-tuner-solve-combat-bal.md|functionality|moonshot_architect|E7|I9|AI Auto-Tuner: solve combat balance from intent
idea-058687cb-round-trip-c-import-into-gas-b.md|functionality|feature_scout|E7|I6|Round-trip C++ import into GAS Blueprint Editor
idea-05f25f33-smoothly-morph-the-xp-curve-wh.md|ui|ui_perfectionist|E4|I6|Smoothly morph the XP curve when params change
idea-05fa6cdb-adjustment-layer-stack-for-non.md|functionality|feature_scout|E6|I7|Adjustment-layer stack for non-destructive feel modifiers
idea-07114e20-extract-shared-blender-pipelin.md|ui|ui_perfectionist|E5|I6|Extract shared Blender pipeline form primitives
idea-08d07649-new-since-last-scan-regression.md|functionality|feature_scout|E6|I8|New-since-last-scan regression diff with git blame
idea-0a08d250-orchestrated-gated-pipeline-ru.md|functionality|feature_scout|E7|I8|Orchestrated gated pipeline runs (preflight to ship)
idea-0a992668-painter-zoom-controls-fit-to-c.md|ui|ui_perfectionist|E6|I8|Painter zoom controls + fit-to-content + minimap
idea-0a9fe477-cost-token-spend-dashboard-wit.md|user_benefit|feature_scout|E5|I7|Cost & token spend dashboard with budget guards
idea-0b7d17a0-self-driving-economy-auto-bala.md|functionality|moonshot_architect|E8|I9|Self-driving economy auto-balancer (target-seeking)
idea-0b977d4d-live-in-browser-procgen-previe.md|functionality|feature_scout|E6|I8|Live in-browser procgen preview canvas
idea-0d6e0e8b-one-click-round-trip-localize.md|functionality|moonshot_architect|E8|I8|One-Click Round-Trip Localize to UE5 Project
idea-0da1c0b0-pipeline-recipe-marketplace-wi.md|user_benefit|moonshot_architect|E7|I8|Pipeline Recipe marketplace with network effects
idea-0e92c0c3-inclusive-design-pass-for-the.md|ui|ui_perfectionist|E6|I7|Inclusive-design pass for the SVG maps and status chips
idea-0ee551b8-prompt-version-history-with-vi.md|functionality|feature_scout|E6|I7|Prompt version history with visual diff and rollback
idea-0ef2a814-closed-loop-telemetry-replay-r.md|functionality|moonshot_architect|E8|I9|Closed-loop telemetry: replay real fights vs the sim
idea-127c438c-cinematic-crash-time-machine-r.md|ui|moonshot_architect|E6|I7|Cinematic Crash Time Machine Replay
idea-13107c70-fuse-perf-and-crashes-into-hol.md|functionality|feature_scout|E5|I7|Fuse perf and crashes into holistic health score
idea-135ee09d-one-click-fix-from-any-playtes.md|functionality|feature_scout|E5|I8|One-click Fix from any playtest finding
idea-13b5f15d-plain-language-pilot-anyone-ca.md|user_benefit|moonshot_architect|E6|I8|Plain-language pilot: anyone can drive the engine
idea-141c2420-ai-node-logic-completion-with.md|functionality|moonshot_architect|E8|I9|AI Node-Logic Completion with Self-Verifying Compile
idea-143ff660-add-plain-language-glossary-la.md|ui|ui_perfectionist|E5|I7|Add plain-language glossary layer over UE5 jargon
idea-1453c59f-plain-language-narrator-for-ga.md|user_benefit|moonshot_architect|E5|I7|Plain-Language Narrator for Gameplay Systems
idea-15133ebe-make-graph-nodes-keyboard-scre.md|ui|ui_perfectionist|E5|I6|Make graph nodes keyboard & screen-reader accessible
idea-158f9e5e-auto-balance-check-pipe-forged.md|functionality|feature_scout|E5|I8|Auto-balance check: pipe forged abilities into the simulator
idea-15c6b41d-unify-planning-views-with-view.md|ui|ui_perfectionist|E5|I5|Unify planning views with ViewHeader and ProgressBar
idea-15defbed-match-imported-crashes-against.md|functionality|feature_scout|E5|I8|Match imported crashes against known fixes
idea-1611640d-build-mesh-generation-panel-wi.md|ui|ui_perfectionist|E6|I7|Build mesh generation panel with live progress ring
idea-16cbc990-player-persona-marketplace-eme.md|functionality|moonshot_architect|E7|I7|Player-persona marketplace & emergent trading sim
idea-17289c6a-agent-based-player-journey-chu.md|functionality|moonshot_architect|E7|I8|Agent-Based Player Journey & Churn Simulator
idea-18ad7099-turn-ctrl-k-search-into-an-act.md|functionality|feature_scout|E5|I7|Turn Ctrl+K search into an action command palette
idea-194f4c43-usavegame-schema-designer-with.md|functionality|feature_scout|E7|I8|USaveGame schema designer with version migration
idea-19e9e14d-unify-divergent-stat-cards-int.md|ui|ui_perfectionist|E4|I5|Unify divergent stat cards into one MetricCard
idea-1a0c060d-unify-type-scale-semantic-stat.md|ui|ui_perfectionist|E4|I6|Unify type scale & semantic status color tokens
idea-1aa2d0a2-self-balancing-loot-economy-fr.md|functionality|moonshot_architect|E9|I9|Self-balancing loot economy from live playtest telemetry
idea-1ae5a8f8-economy-design-multiverse-bran.md|ui|moonshot_architect|E6|I7|Economy design multiverse: branch, diff & compare
idea-1b469379-orm-channel-packing-ue5-textur.md|functionality|feature_scout|E5|I7|ORM channel-packing & UE5 texture export
idea-1c7f071f-unify-the-four-genome-progress.md|ui|ui_perfectionist|E4|I6|Unify the four genome/progression tab headers
idea-1d0dd943-premium-error-proof-simulation.md|ui|ui_perfectionist|E5|I6|Premium, error-proof simulation config controls
idea-1d108361-a-b-scenario-comparison-with-d.md|functionality|feature_scout|E5|I7|A/B Scenario Comparison with Delta Diff
idea-1d4e1422-self-calibrating-effort-engine.md|functionality|moonshot_architect|E# Self-Calibrating Effort Engine that learns your velocity|I7|Self-Calibrating Effort Engine that learns your velocity
idea-1d6c71ad-live-encounter-simulator-a-pla.md|functionality|moonshot_architect|E8|I9|Live Encounter Simulator: a playable AI sandbox
idea-1d82300f-goal-seek-auto-balancer-for-ec.md|functionality|feature_scout|E7|I7|Goal-seek auto-balancer for economy targets
idea-1e301d12-self-healing-ue-readiness-gate.md|functionality|moonshot_architect|E7|I8|Self-healing UE-readiness gate for every asset
idea-1e6353c7-interactive-perception-tuner-w.md|functionality|feature_scout|E4|I6|Interactive perception tuner with live coverage
idea-205e2bed-calibrate-effort-estimates-fro.md|functionality|feature_scout|E# Calibrate Effort Estimates from Actual Run Durations|I6|Calibrate Effort Estimates from Actual Run Durations
idea-20ae3e34-capacity-aware-sprint-auto-pla.md|functionality|feature_scout|E6|I8|Capacity-Aware Sprint Auto-Planner (Plan My Week)
idea-21cea6d3-predictive-cook-forecaster-eta.md|functionality|moonshot_architect|E5|I7|Predictive Cook Forecaster: ETA, size & risk pre-launch
idea-21f15b68-forge-to-game-sentence-to-comp.md|functionality|moonshot_architect|E8|I8|Forge-to-game: sentence to compiled, balanced ability
idea-22128354-unify-range-sliders-into-one-a.md|ui|ui_perfectionist|E5|I6|Unify range sliders into one a11y RangeSlider primitive
idea-222dc99a-community-genome-marketplace-w.md|functionality|moonshot_architect|E8|I8|Community Genome Marketplace with Fork & Remix
idea-23d79c4d-living-graph-auto-derive-depen.md|functionality|moonshot_architect|E8|I8|Living graph: auto-derive dependencies from real source
idea-243abbe9-save-and-recall-named-workspac.md|functionality|feature_scout|E5|I8|Save and recall named workspace presets (Spaces)
idea-24b9a2aa-export-ue5-ready-localization.md|functionality|feature_scout|E6|I8|Export UE5-ready localization artifacts
idea-2508f144-plain-language-labels-and-lege.md|ui|ui_perfectionist|E5|I6|Plain-language labels and legend for telemetry
idea-25222d7d-interactive-adaptive-music-sta.md|functionality|feature_scout|E7|I7|Interactive adaptive music state editor
idea-26a2c5f7-unified-project-health-timelin.md|functionality|feature_scout|E7|I7|Unified project health timeline with trends
idea-26db6ca0-auto-tune-post-process-stack-t.md|functionality|moonshot_architect|E7|I8|Auto-tune post-process stack to frame budget
idea-288adf45-provider-mesh-race-providers-a.md|functionality|moonshot_architect|E7|I7|Provider Mesh: race providers, auto-pick the best
idea-2a2e30d7-radiant-quest-variation-engine.md|functionality|feature_scout|E6|I8|Radiant quest variation engine with seeded templates
idea-2a5aaf2f-test-run-history-flaky-scenari.md|functionality|feature_scout|E5|I7|Test run history & flaky-scenario detection
idea-2b8ece97-single-source-balance-spec-sim.md|functionality|moonshot_architect|E8|I9|Single-source balance spec: sim mirrors shipped C++
idea-2c4da945-critical-path-dependency-graph.md|functionality|feature_scout|E6|I7|Critical-path dependency graph visualization
idea-2c5de488-mission-control-predictive-pro.md|user_benefit|moonshot_architect|E6|I8|Mission Control: predictive project launch dashboard
idea-2cba6df6-bulk-implement-plan-items-as-a.md|functionality|feature_scout|E5|I9|Bulk-implement plan items as auto-generated DAG
idea-2cbadfe1-knowledge-inbox-promote-mined.md|functionality|feature_scout|E6|I8|Knowledge Inbox: promote mined anti-patterns into gotchas
idea-2cca4005-overlay-generated-quests-onto.md|ui|ui_perfectionist|E6|I7|Overlay generated quests onto the Zone Topology map
idea-2d4fe8fa-one-click-auto-rig-that-replac.md|functionality|moonshot_architect|E8|I8|One-click auto-rig that replaces the Mixamo trip
idea-2d57d2a9-hdri-lighting-environments-in.md|functionality|feature_scout|E5|I6|HDRI lighting environments in material preview
idea-2f259014-self-healing-build-doctor-auto.md|functionality|moonshot_architect|E8|I8|Self-Healing Build Doctor: autonomous cook fix loop
idea-307fb2e8-license-tracker-auto-generated.md|user_benefit|feature_scout|E4|I6|License tracker & auto-generated CREDITS file
idea-3083dc0e-describe-your-game-onboarding.md|functionality|moonshot_architect|E7|I9|Describe-your-game onboarding auto-builds roadmap
idea-3271c34c-one-click-send-to-unreal-asset.md|user_benefit|feature_scout|E6|I8|One-click Send to Unreal asset export
idea-327e3733-closed-loop-balance-autopilot.md|functionality|moonshot_architect|E9|I9|Closed-Loop Balance Autopilot for Genomes
idea-32b10133-self-healing-texture-engine-ge.md|functionality|moonshot_architect|E6|I8|Self-Healing Texture Engine: generate-verify-fix loop
idea-33edf5e4-open-adaptive-audio-middleware.md|functionality|moonshot_architect|E8|I8|Open Adaptive Audio Middleware (Wwise/FMOD-killer)
idea-34b53407-time-travel-replay-of-live-ue5.md|functionality|moonshot_architect|E7|I8|Time-Travel Replay of Live UE5 Editor State
idea-36bba5e2-interactive-pbr-preview-sphere.md|functionality|feature_scout|E5|I9|Interactive PBR preview sphere for generated textures
idea-3700d83b-community-exchange-for-verifie.md|functionality|moonshot_architect|E9|I9|Community exchange for verified integration recipes
idea-372fc223-searchable-material-library-wi.md|functionality|feature_scout|E5|I8|Searchable material library with thumbnails & tags
idea-375a9f88-balance-regression-baselines-w.md|functionality|feature_scout|E5|I7|Balance regression baselines with drift alerts
idea-381106a5-persistent-combo-state-machine.md|user_benefit|feature_scout|E6|I7|Persistent combo & state machine library
idea-39c11f4a-unified-send-to-pipeline-brows.md|functionality|feature_scout|E6|I8|Unified Send-to pipeline: browse to preview to import
